CharacterDesignId,CharacterDesignName,RaceType,FinalHp,FinalPilot,FinalAttack,FinalRepair,FinalWeapon,FinalScience,FinalEngine,FireResistance,Rarity,SpecialAbilityType,SpecialAbilityFinalArgument,WalkingSpeed,RunSpeed,TrainingCapacity,EquipmentMask,CollectionDesignId,Flags,Head,Body,Leg,CharacterDesignDescription
1,Laura,Unknown,6,18,1.9,1.7,4,7,3,1,Special,DeductReload,460,1,2,200,62,0,9,366,370,373,Space Academy graduate and much loved Capt'n of the Starship.
2,Lisa,Unknown,6,18,1.9,1.7,7,12,4,1,Special,HealSelfHp,6,1,2,200,62,0,9,391,395,399,Space Academy graduate and much loved Capt'n of the Starship.
3,Michelle,Unknown,6,18,1.9,1.7,13,4,3,1,Special,HealSameRoomCharacters,5,1,2,200,62,0,9,415,420,423,Space Academy graduate and much loved Capt'n of the Starship.
4,Bobby,Unknown,6,18,1.9,1.7,3,3,14,1,Special,AddReload,40,1,2,200,62,0,9,306,311,315,Space Academy graduate and much loved Capt'n of the Starship.
5,Edward,Unknown,6,18,1.9,1.7,3,6,4,1,Special,DamageToRoom,4,1,2,200,62,0,9,377,381,387,Space Academy graduate and much loved Capt'n of the Starship.
6,Tony,Unknown,6,18,1.9,1.7,2,4,7,1,Special,HealRoomHp,5,1,2,200,62,0,9,403,407,411,Space Academy graduate and much loved Capt'n of the Starship.
7,Green Ranger - Oliver,White,9,3,2.8,2.4,7,21,6,1,Hero,DamageToSameRoomCharacters,6,1,2,90,3,0,3,481,485,489,Justice never loses
8,Engineer Bob,Asian,7,3,1.7,3,6,6,24,1,Special,HealRoomHp,10,1,2,100,3,0,3,640,311,315,An engineer engine up!
9,Big Football Fan,White,4,3,2.3,1.8,2,7,8,1,Elite,None,0,1,2,60,6,0,19,662,666,670,A football fan who is seeking the legendary football player
10,Mr Coconut,Asian,7,15,2.7,2.5,25,18,18,1,Hero,DeductReload,600,1,2,90,3,1,3,674,678,682,A man born from a coconut.
11,Verunus,Alien,6,12,2.6,2,15,12,3,1,Unique,HealSameRoomCharacters,5,1,2,70,5,0,19,686,690,694,Verunus is born to seduce youeh... okseduce alien 
12,Menga Linuxer,Robot,12,12,3,3.1,21,18,21,1,Hero,DamageToRoom,6,1,2,90,5,1,3,740,744,748,A crazy robot developer put himself into a linux-base robot body
13,Visiri Capt'n,Alien,6,12,2.4,2.4,18,12,18,1,Unique,AddReload,30,1,2,70,24,14,19,863,867,871,An ugly alien captain.
14,Medusa,Alien,7,15,2.9,2.9,14,12,20,1,Epic,AddReload,35,1,2,80,24,14,19,876,867,880,Visiri with evolved manuvering mechanics.
15,Doge,Animal,9,15,3,2.8,15,18,16,1,Special,HealSameRoomCharacters,8,1,2,100,6,5,3,891,895,899,Man's Best Friend
16,Serge Eric,White,5,3,2.1,1.7,12,7,10,1,Unique,DeductReload,360,1,2,70,3,0,19,903,907,911,A boy who willing to be a general in the space
17,Robot,Robot,7,12,2.7,2.8,14,14,14,1,Special,DeductReload,480,1,2,100,10,0,3,915,919,923,R..o..b....o.........to
18,Yusi,Asian,10,18,2.5,2.9,18,21,12,1,Hero,HealSelfHp,10,1,2,90,3,1,3,927,931,935,An artist wish that he found every astronomical landscape and record them by drawing
19,Xin,Asian,10,18,2.7,2.7,15,18,24,1,Hero,AddReload,50,1,2,90,3,1,3,953,957,961,The BOSS
